Numer of labeled samples:9699   AUC:0.941
Numer of labeled samples:9693   AUC:0.944
Numer of labeled samples:9706   AUC:0.940
Numer of labeled samples:9703   AUC:0.944
Numer of labeled samples:9700   AUC:0.940
Numer of labeled samples:9699   AUC:0.945
Numer of labeled samples:9701   AUC:0.942
Numer of labeled samples:9701   AUC:0.943
Numer of labeled samples:9705   AUC:0.943
Numer of labeled samples:9706   AUC:0.943
Numer of labeled samples:9704   AUC:0.943
Numer of labeled samples:9703   AUC:0.943
Numer of labeled samples:9718   AUC:0.943
Numer of labeled samples:9698   AUC:0.943
Numer of labeled samples:9729   AUC:0.945
Numer of labeled samples:9701   AUC:0.944
Numer of labeled samples:9752   AUC:0.942
Numer of labeled samples:9699   AUC:0.943
Numer of labeled samples:9760   AUC:0.941
Numer of labeled samples:9696   AUC:0.942
Numer of labeled samples:9763   AUC:0.941
Numer of labeled samples:9702   AUC:0.941
Numer of labeled samples:9776   AUC:0.943
Numer of labeled samples:9702   AUC:0.943
Numer of labeled samples:9795   AUC:0.942
Numer of labeled samples:9721   AUC:0.942
Numer of labeled samples:9786   AUC:0.941
Numer of labeled samples:9714   AUC:0.939
Numer of labeled samples:9766   AUC:0.939
Numer of labeled samples:9719   AUC:0.938
Numer of labeled samples:9742   AUC:0.939
Numer of labeled samples:9716   AUC:0.938
Numer of labeled samples:9730   AUC:0.938
Numer of labeled samples:9719   AUC:0.938
Numer of labeled samples:9721   AUC:0.939
Numer of labeled samples:9722   AUC:0.940
Numer of labeled samples:9743   AUC:0.940
Numer of labeled samples:9707   AUC:0.939
Numer of labeled samples:9743   AUC:0.938
Numer of labeled samples:9696   AUC:0.939
Numer of labeled samples:9740   AUC:0.936
Numer of labeled samples:9675   AUC:0.938
Numer of labeled samples:9727   AUC:0.935
Numer of labeled samples:9674   AUC:0.937
Numer of labeled samples:9728   AUC:0.933
Numer of labeled samples:9658   AUC:0.934
Numer of labeled samples:9714   AUC:0.934
Numer of labeled samples:9658   AUC:0.936
Numer of labeled samples:9719   AUC:0.938
Numer of labeled samples:9660   AUC:0.937
Numer of labeled samples:9725   AUC:0.939
Numer of labeled samples:9664   AUC:0.937
Numer of labeled samples:9726   AUC:0.939
Numer of labeled samples:9674   AUC:0.937
Numer of labeled samples:9708   AUC:0.939
Numer of labeled samples:9693   AUC:0.941
Numer of labeled samples:9704   AUC:0.939
Numer of labeled samples:9693   AUC:0.940
Numer of labeled samples:9710   AUC:0.938
Numer of labeled samples:9696   AUC:0.939
Numer of labeled samples:9709   AUC:0.941
Numer of labeled samples:9682   AUC:0.941
Numer of labeled samples:9714   AUC:0.944
Numer of labeled samples:9700   AUC:0.941
Numer of labeled samples:9718   AUC:0.942
Numer of labeled samples:9708   AUC:0.939
Numer of labeled samples:9724   AUC:0.941
Numer of labeled samples:9689   AUC:0.939
Numer of labeled samples:9725   AUC:0.940
Numer of labeled samples:9682   AUC:0.942
Numer of labeled samples:9734   AUC:0.938
Numer of labeled samples:9693   AUC:0.941
Numer of labeled samples:9739   AUC:0.937
Numer of labeled samples:9671   AUC:0.942
Numer of labeled samples:9727   AUC:0.938
Numer of labeled samples:9678   AUC:0.942
Numer of labeled samples:9713   AUC:0.938
Numer of labeled samples:9687   AUC:0.942
Numer of labeled samples:9702   AUC:0.937
Numer of labeled samples:9681   AUC:0.940
Numer of labeled samples:9711   AUC:0.936
Numer of labeled samples:9676   AUC:0.938
Numer of labeled samples:9707   AUC:0.939
Numer of labeled samples:9684   AUC:0.938
Numer of labeled samples:9696   AUC:0.939
Numer of labeled samples:9684   AUC:0.938
